First Name,Last Name,Photo,Year of Birth,Year of Death,Country
Roy,Agnew,agnew_roy.png,1891,1944,Australia
Hugo,Alpen,alpen_hugo.png,1842,1917,Australia
Arthur,Benjamin,arthur_benjamin.png,1893,1960,Australia
Hooper,Brewster-Jones,hooper_brewster_jones.png1887,1949,Australia
Vince,Courtney,,1887,1951,Australia
Arthur,Chanter,1886,,1950,Australia
Percy,Code,1888,,1953,Australia
George,DeChaneet,,1861,1926,Australia
John,Delany,1852,,1907,Australia
Herbert,DePinna,,1880,1936,Australia
George,Cairos-Rego,,1858,1946,Australia
Peggy,Glanville-Hicks,,1912,1990,Australia
Percy,Grainger,1882,,1961,Australia
Christian,Helleman,,1880,1954,Australia
Ernest,Mitchell,,1865,1951,Australia
Margaret,Sutherland,,1897,1984,Australia
Flor,Alpaerts,,1876,1954,Belgium
Paul,Gilson,,1865,1942,Belgium
Karel,Goeyvaerts,,1923,1993,Belgium
Arthur,Meulemans,1884,1965,Belgium
Flor,Peeters,,1903,1986,Belgium
Sergei,Prokofiev,,1891,1953,Russia
Alexander,Scriabin,,1872,1915,Russia
Dmitri,Shostakovich,,1906,1975,Russia
Igor,Stravinsky,,1882,1971,Russia
Heitor,Villa-Lobos,,1887,1959,Brazil
Camargo,Guarnieri,,1907,1993,Brazil
Alban,Berg,,1885,1935,Austria
Arnold,Schoenberg,,1874,1951,Austria
Anton,Webern,,1883,1945,Austria
Gustav,Mahler,,1860,1911,Austria
Alexander,Zemlinsky,,1871,1942,Austria
Paul,Hindemith,,1895,1963,Germany
Hans,Pfitzner,,1869,1949,Germany
Max,Reger,1873,,1916,Germany
Franz,Schreker,,1878,1934,Germany
Richard,Strauss,,1864,1949,Germany
Johann,Walther,,1684,1748,Germany
Erik,Bergman,,1911,2006,Finland
Joonas,Kokkonen,,1921,1996,Finland
Aarre,Merikanto,,1893,1958,Finland
Pierre,Boulez,,1925,2016,France
Claude,Debussy,,1862,1918,France
Gabriel,Fauré,,1845,1924,France
André,Jolivet,,1905,1974,France
Arthur,Honegger,,1892,1955,France
Olivier,Messiaen,,1908,1992,France
Darius,Milhaud,,1892,1974,France
Francis,Poulenc,,1899,1963,France
Maurice,Ravel,,1875,1937,France
Erik,Satie,,1866,1925,France
Edgard,Varèse,,1883,1965,France
Luciano,Berio,,1925,2003,Italy
Ferruccio,Busoni,,1866,1924,Italy
Salvatore,Sciarrino,,1947,,Italy
Béla,Bartók,1881,,1945,Hungary
Marcus,Paus,1979,,Norway
Karol,Szymanowski,,1882,1937,Poland
Oliver,Knussen,,1952,2018,Scotland
Milton,Babbitt,,1916,2011,United States
Samuel,Barber,,1910,1981,United States
Irving,Berlin,,1888,1989,United States
John,Cage,,1912,1992,United States
Aaron,Copland,,1900,1990,United States
Henry,Cowell,,1897,1965,United States
Ruth,Crawford-Seeger,1901,1953,United States
George,Crumb,,1929,,United States
Vernon,Duke,,1903,1969,United States
Morton,Feldman,,1926,1987,United States
George,Gershwin,,1898,1937,United States
Philip,Glass,,1937,,United States
Bernard,Herrmann,,1911,1975,United States
Charles,Ives,,1874,1954,United States
Jerome,Kern,,1885,1945,United States
Leon,Kirchner,,1919,2009,United States
Donald,Martino,,1931,2005,United States
Leo,Ornstein,,1893,2002,United States
Harry,Partch,,1901,1974,United States
Cole,Porter,,1891,1964,United States
Ezra,Pound,,1885,1972,United States
Lou,Reed,,1942,2013,United States
Steve,Reich,,1936,,United States
Richard,Rodgers,,1902,1979,United States
Dane,Rudhyar,,1895,1985,United States
Charles,Seeger,,1886,1979,United States
Brian,Wilson,,1942,,United States
Brian,Ferneyhough,,1943,,England
William,Walton,,1902,1983,England
