,,,,
Game,Release Date,Platforms,Developer,
Final Fantasy VII,02/29/24,PlayStation 5,Square Enix,
Balatro,02/20/24,PlayStation 5 - PlayStation 4 - Nintendo Switch - Xbox One,LocalThunk,
The Last of Us Part II,01/19/24,PlayStation 5,Naughty Dog,
Tekken 8,01/26/24,PlayStation 5 - Xbox Series X,Bandai Namco Games,
Like a Dragon,01/26/24,Xbox Series X - PC - PlayStation 5 - PlayStation 4,Ryu ga Gotoku Studios,
Horizon Forbidden,03/21/24,PlayStation 5,Nixxes Software,
Persona 3 Reload,02/02/24,Xbox Series X - Xbox One - PC - PlayStation 4,P-Studio,
Qomp2,02/20/24,Xbox Series X - PC - PlayStation 5 - PlayStation 4 - Nintendo Switch,Graphite Lab,
Dragon’s Dogma 2,03/22/24,PlayStation 5 - PC,Capcom,
Unicorn Overlord,03/08/24,Nintendo Switch - PlayStation 5 - PlayStation 4,Vanillaware,
Prince of Persia,01/18/24,Xbox Series X - PlayStation 5 - PlayStation 4 - PC - Xbox One,Ubisoft Montpellier,
Sons of the Forest,02/22/24,PC,Endnight Studios,
